"工号-箱头-分箱","梯种","物料编码","物料描述","数量","箱头作业指令产出日期","物料要求送货日期","生产线","序号","导靴","导靴物料描述","提拉杆","提拉杆物料描述"
"18G082615-B03-01","MCA-450-CO60","C161268212","立柱组合","1","2019/6/9 0:00","2019/6/6","999","","","","",""
"18G016396-B03-01","LGE-825-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","3","","","",""
"19G007651-B03-01","MCA-Ⅱ-1150-CO150","A521258491","立柱装配_C0086991_D_PLF.HT=3600","2","2019/6/9 0:00","2019/6/6","1","75","","","",""
"17G080742-B03-01","LGE-630-CO60","Z161265486","立柱组合","1","2019/6/9 0:00","2019/6/6","1","1","","","",""
"17G085630-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","1","14","","","",""
"17G093767-B03-01","LGE-630-CO60","Z161266853","立柱组合","1","2019/6/9 0:00","2019/6/6","1","22","","","",""
"17G080740-B03-01","LGE-630-CO60","Z161265486","立柱组合","1","2019/6/9 0:00","2019/6/6","1","2","","","",""
"18G113308-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","1","15","","","",""
"17G093768-B03-01","LGE-630-CO60","Z161266853","立柱组合","1","2019/6/9 0:00","2019/6/6","1","23","","","",""
"18G118991-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","1","16","","","",""
"18G016395-B03-01","LGE-825-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","4","","","",""
"18G109575-B03-01","LGE-630-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","5","","","",""
"18G093933-B03-01","LCA-Ⅱ-1050-CO60","Z161266789","立柱组合","1","2019/6/9 0:00","2019/6/6","1","21","","","",""
"19G004839-B03-01","LGE-825-CO90","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","6","","","",""
"18G012437-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","1","17","","","",""
"18G016370-B03-01","LGE-825-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","7","","","",""
"19G007652-B03-01","MCA-Ⅱ-1600-CO150","A521258491","立柱装配_C0086991_D_PLF.HT=3600","2","2019/6/9 0:00","2019/6/6","2","74","","","",""
"18G012426-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","1","18","","","",""
"16G005030-B03-01","LCA-Ⅱ-825-CO90","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","8","","","",""
"17G085631-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","1","19","","","",""
"17G085610-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","1","20","","","",""
"18G109573-B03-01","LGE-630-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","9","","","",""
"18G012424-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","2","61","","","",""
"17G080738-B03-01","LGE-630-CO60","Z161265486","立柱组合","1","2019/6/9 0:00","2019/6/6","2","48","","","",""
"18G119861-B03-01","LGE-630-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","10","","","",""
"18G119860-B03-01","LGE-630-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","1","11","","","",""
