工号,层级,物料编码,物料描述,批次,特性值
A521258812,1,A599000050,导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1,,
A521258812,2,A599407063,导靴罩装配_16541537_A_SP-8MC1,,
Z161010010,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010012,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010018,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010042,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010045,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010069,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010075,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010091,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010092,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010102,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010117,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010156,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010433,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010475,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010476,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161010664,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161011186,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161011186,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161011186,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161011204,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161011253,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161011253,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161011253,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161011266,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161011266,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161011266,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161011375,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161011710,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161011820,1,A599019580,下导靴装配_C0044390_A_RP-160F1,,
Z161011820,2,A599000067,导靴装配_16501278_A_22500512_A_RP-160F1,,
Z161011827,1,A599019580,下导靴装配_C0044390_A_RP-160F1,,
Z161011827,2,A599000067,导靴装配_16501278_A_22500512_A_RP-160F1,,
Z161011828,1,A599019580,下导靴装配_C0044390_A_RP-160F1,,
Z161011828,2,A599000067,导靴装配_16501278_A_22500512_A_RP-160F1,,
Z161011978,2,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161011979,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161011979,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161012010,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161012010,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161012051,1,A599399678,滑动导靴装配_16538995_B_HGSSP-75M-A,,
Z161012051,2,A599399679,滑动导靴装配_C0072122_A_HGSSP-75M-A，华工百川,,
Z161012071,2,A599000135,导靴装配_16501277_A_22500511_A_SP-24MB1,,
Z161012071,2,A599383102,导靴底座装配_C0056292_B,,
Z161012145,1,A599019580,下导靴装配_C0044390_A_RP-160F1,,
Z161012145,2,A599000067,导靴装配_16501278_A_22500512_A_RP-160F1,,
Z161012165,1,A599405747,滚轮导靴装配_C0083111_A_适用T75/B导轨,,
Z161012166,1,A599405747,滚轮导靴装配_C0083111_A_适用T75/B导轨,,
Z161012167,1,A599399678,滑动导靴装配_16538995_B_HGSSP-75M-A,,
Z161012167,2,A599399679,滑动导靴装配_C0072122_A_HGSSP-75M-A，华工百川,,
Z161012168,1,A599000050,导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1,,
Z161012168,2,A599407063,导靴罩装配_16541537_A_SP-8MC1,,
Z161012171,1,A599405747,滚轮导靴装配_C0083111_A_适用T75/B导轨,,
Z161263881,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263881,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263881,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263902,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263902,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263902,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263904,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263904,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263904,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263917,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263917,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263917,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263931,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263931,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263931,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263961,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263961,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263961,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263963,1,A599000050,导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1,,
Z161263963,2,A599407063,导靴罩装配_16541537_A_SP-8MC1,,
Z161263991,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263991,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263991,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263999,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263999,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263999,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264000,1,A599000050,导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1,,
Z161264000,2,A599407063,导靴罩装配_16541537_A_SP-8MC1,,
Z161264017,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264017,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264017,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264028,1,A599013805,下导靴装配_13529850_E_SP-8/13ML_T75/B,,
Z161264028,2,A599013788,导靴装配_13529477_E_SP-8/13ML_T75/B,,
Z161264028,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264043,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264043,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264043,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264047,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264047,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264047,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264071,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
