NO,工号-箱头-分箱,梯种,物料编码,物料描述,特性值编码,特性值描述,数量,箱头作业指令产出日期,物料要求送货日期,生产线,生产序,备注
1,18G082615-B03-01,MCA-450-CO60,C161268212,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
2,18G047702-B03-01,VGE-400-CO24,Z161011987,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
3,18G016396-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
4,16G066815-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
5,18G065811-B03-01,HGE-Ⅲ-1050-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
6,17G062284-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
7,17G070948-B03-01,HGE-Ⅲ-825-CO90,Z161267833,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
8,19G007651-B03-01,MCA-Ⅱ-1150-CO150,A521258491,立柱装配_C0086991_D_PLF.HT=3600,,,2,2019/6/9 0:00,2019/6/6,,,
9,17G080742-B03-01,LGE-630-CO60,Z161265486,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
10,17G085630-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
11,18G108439-B03-01,HGP-S-825-CO105,Z161267845,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
12,18G089227-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
13,18G024815-B03-01,HGE-Ⅲ-1050-CO105,Z161267830,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
14,17G093767-B03-01,LGE-630-CO60,Z161266853,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
15,17G080740-B03-01,LGE-630-CO60,Z161265486,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
16,18G113308-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
17,18G132220-B03-01,MCA-Ⅱ-1050-CO105,Z161268012,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
18,18G091165-B03-01,HGE-Ⅲ-825-CO105,Z161267876,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
19,18G090441-B03-01,HGE-Ⅲ-825-CO90,Z161267833,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
20,17G093768-B03-01,LGE-630-CO60,Z161266853,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
21,18G132221-B03-01,MCA-Ⅱ-1050-CO105,Z161268106,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
22,18G108441-B03-01,HGP-S-825-CO105,Z161267876,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
23,18G047701-B03-01,VGE-400-CO24,Z161011987,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
24,18G072673-B03-01,HGE-Ⅲ-1050-CO90,Z161267839,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
25,18G052590-B03-01,MCA-Ⅱ-1050-2S120,Z161268892,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
26,16G066831-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
27,18G118991-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
28,18G109959-B03-01,HGE-Ⅲ-825-CO105,Z161267845,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
29,18G016395-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
30,18G065823-B03-01,HGE-Ⅲ-1050-CO90,Z161267905,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
31,16G066812-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
32,18G120833-B03-01,MCA-Ⅱ-825-CO120,Z161269107,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
33,18G109575-B03-01,LGE-630-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
34,18G093933-B03-01,LCA-Ⅱ-1050-CO60,Z161266789,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
35,18G082616-B03-01,LGE-450-CO60,Z161268212,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
36,19G004839-B03-01,LGE-825-CO90,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
37,18G089226-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
38,18G012437-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
39,16G066893-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
40,18G016370-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
41,19G035175-B03-01,MCA-Ⅱ-1050-CO90,Z161267885,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
42,16G066814-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
43,18G120832-B03-01,MCA-Ⅱ-1050-CO120,Z161269088,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
44,18G091140-B03-01,HGE-Ⅲ-1050-CO105,Z161267825,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
45,19G007652-B03-01,MCA-Ⅱ-1600-CO150,A521258491,立柱装配_C0086991_D_PLF.HT=3600,,,2,2019/6/9 0:00,2019/6/6,,,
46,18G074902-B03-01,MCA-Ⅱ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
47,18G012426-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
48,18G024816-B03-01,HGE-Ⅲ-1050-CO105,Z161267830,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
49,18G096005-B03-01,HGE-Ⅲ-825-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
50,18G113817-B03-01,MCA-Ⅱ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
51,16G005030-B03-01,LCA-Ⅱ-825-CO90,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
52,17G077693-B03-01,HGP-S-1050-CO105,Z161267909,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
53,17G085631-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
54,18G065824-B03-01,HGE-Ⅲ-1050-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
