物料编码,物料类型,物料描述,是否确认,版本,类别分配,物料状态,单位,主图号,作业,名称,型号规格,成型尺寸,材质,开料尺寸,辅助图号,URL地址,生产ATO类型,材质ATO类型,非标描述,是否确认,制造或购买,安全库存量,计划员,限额领料,部件参数组,按需交付,生产模式,跟工号计划,供应类型,供应子库,供应货位,预加工提前期,加工中提前期,后加工提前期,固定提前期,可变提前期,固定供应天数,最小订货量,最大订货量,固定订货量,固定批次增加,属性备注,配送标识,VMI标识,是否确认,采购员,固定供应天数,最小订货量,最大订货量,固定订货量,固定批次增加,加工中提前期,默认子库,默认货位,默认仓管员,默认厂区,材质,长,宽,高,毛重,净重,是否循环使用
A521258812,车间成品,立柱组合_16541933_A,是,A,A521,Active,ea,16541933,A,立柱组合,,,,,,,否,否,,是,制造,,LZZP,是,,是,,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
P121012143,车间成品,立柱组合（上海配件使用）,是,A,P121,DESIGN,ea,,,立柱组合（上海配件使用）,,,,,,,否,否,,是,制造,,LZZP,是,,否,,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
P121012184,车间成品,立柱组合,是,A,P121,Active,ea,,,立柱组合,,,,,,,否,否,上海配件使用，09年工号没有对应组合件。,是,制造,,LZZP,是,,是,,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z1610000010013,车间成品,立柱组合_16507125_E/16501074_B,是,A,Z161,Active,ea,16507125_E/16501074_B,,立柱组合,,,,,,,是,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161010000,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,是,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010001,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,是,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010002,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010003,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,是,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010004,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010005,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010006,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,图号W4500678_A_数量参照基础设计书，装配图生产按12506181_F制作，图中：L1=3351，L2=3267，L3=3202，L4=3056，|L5|=2952，PLF.HT=3050.图号W4500706_A_装配图生产按12501503_D制作，图中：L1=3351，L2=3267，L3=3056,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010007,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010008,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010009,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010010,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010011,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010012,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010013,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010014,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,是,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
