工号,层级,物料编码,物料描述,批次,特性值
P121012184,2,P121010075,提拉杆连接件组合件_23500454_B/34070110_A/84070111_A,,
Z161010000,2,P121010072,提拉杆连接件组合件_23500454_A/84070111_A/34070110_A,,
Z161010001,2,P121010076,提拉杆连接件组合件_23500454_H/84070111_A/34070110_A,,
Z161010002,2,P121010072,提拉杆连接件组合件_23500454_A/84070111_A/34070110_A,,
Z161010003,2,P121010077,提拉杆连接件组合件_23500455_H/84070111_A/34070110_A,,
Z161010004,2,P121010073,提拉杆连接件组合件_23500455_A/84070111_A/34070110_A,,
Z161010005,2,P121010124,提拉杆连接件组合件23500455_N_23500455_N/84070111_A/34070110_A,,
Z161010006,2,P121010073,提拉杆连接件组合件_23500455_A/84070111_A/34070110_A,,
Z161010007,2,P121010130,提拉杆连接件组合件23500455_J_23500455_J/84070111_A/34070110_A,,
Z161010016,2,P121010071,提拉杆连接件组合件_W4500520_A/84070111_A/34070110_A,,
Z161010017,2,P121010074,提拉杆连接件组合件_W4500455_A/84070111_A/34070110_A,,
Z161010026,2,P121010075,提拉杆连接件组合件_23500454_B/34070110_A/84070111_A,,
Z161010036,2,P121010076,提拉杆连接件组合件_23500454_H/84070111_A/34070110_A,,
Z161010038,2,P121010072,提拉杆连接件组合件_23500454_A/84070111_A/34070110_A,,
Z161010046,2,P121010075,提拉杆连接件组合件_23500454_B/34070110_A/84070111_A,,
Z161010048,2,P121010073,提拉杆连接件组合件_23500455_A/84070111_A/34070110_A,,
Z161010051,2,P121010077,提拉杆连接件组合件_23500455_H/84070111_A/34070110_A,,
Z161010053,2,P121010072,提拉杆连接件组合件_23500454_A/84070111_A/34070110_A,,
Z161010055,2,P121010130,提拉杆连接件组合件23500455_J_23500455_J/84070111_A/34070110_A,,
Z161010056,2,P121010125,提拉杆连接件组合件23500455_P_23500455_P/84070111_A/34070110_A,,
Z161010057,2,P121010073,提拉杆连接件组合件_23500455_A/84070111_A/34070110_A,,
Z161010061,2,P121010123,提拉杆连接件组合件23500454_N_23500454_N/84070111_A/34070110_A,,
Z161010062,2,P121010114,提拉杆连接件组合件14506744_A_14506744_A/84070111_A/34070110_A,,
Z161010065,2,P121010114,提拉杆连接件组合件14506744_A_14506744_A/84070111_A/34070110_A,,
Z161010066,2,P121010078,提拉杆连接件组合件_W4502437_A/84070111_A/34070110_A,,
Z161010067,2,P121010124,提拉杆连接件组合件23500455_N_23500455_N/84070111_A/34070110_A,,
Z161010068,2,P121010074,提拉杆连接件组合件_W4500455_A/84070111_A/34070110_A,,
Z161010070,2,P121010070,提拉杆连接件组合件_13515650_A/84070111_A/34070110_A,,
Z161010078,2,P121010113,提拉杆连接件组合件14506744_E_14506744_E/84070111_A/34070110_A,,
Z161010080,2,P121010125,提拉杆连接件组合件23500455_P_23500455_P/84070111_A/34070110_A,,
Z161010081,2,P121010114,提拉杆连接件组合件14506744_A_14506744_A/84070111_A/34070110_A,,
Z161010084,2,P121010077,提拉杆连接件组合件_23500455_H/84070111_A/34070110_A,,
Z161010095,2,P121010131,提拉杆连接件组合件23500454_C_23500454_C/84070111_A/34070110_A,,
Z161010105,2,P121010129,提拉杆连接件组合件23500454_J_23500454_J/84070111_A/34070110_A,,
Z161010114,2,P121010138,提拉杆连接件组合件13515652_A_13515652_A/84070111_A/34070110_A,,
Z161010116,2,P121010130,提拉杆连接件组合件23500455_J_23500455_J/84070111_A/34070110_A,,
Z161010121,2,P121010076,提拉杆连接件组合件_23500454_H/84070111_A/34070110_A,,
Z161010122,2,P121010118,提拉杆连接件组合件14506744_J_14506744_J/84070111_A/34070110_A,,
Z161010136,2,P121010073,提拉杆连接件组合件_23500455_A/84070111_A/34070110_A,,
